wavelength_nm,throughput
301.7796126028047,0.00002382307101528096
301.7796126028047,0.000020728717412357892
301.7796126028047,0.000018352713328293494
303.5631775049493,0.000007826666535123653
305.346742407094,0.000013187223279071394
305.346742407094,0.000011474348736575546
305.346742407094,0.000009983957664347968
305.346742407094,0.00000868715191876254
305.9412640411423,0.000015692020583878055
307.1303073092387,0.00005884466421131085
307.1303073092387,0.00005120139275406375
307.1303073092387,0.00004455089777625043
307.1303073092387,0.00003876422858658249
307.1303073092387,0.00003372918376324788
307.1303073092387,0.00002934813560893924
307.1303073092387,0.000025536137185127933
307.1303073092387,0.000022219275221661784
307.1303073092387,0.00001933323696520077
308.91387221138336,0.00008626970312548257
308.91387221138336,0.00007506422224863803
308.91387221138336,0.00006531420948090119
309.50839384543156,0.00010265587596128487
